Raw Dataset Extracted from Call Reports,,,,,,,,FFIEC Call Report Reference Guide,,,,,,
Bank,Year,Schedule,Line Item,Code,Value (000s),Source Page,,Category,Code / Term,Full Name,What It Represents,Why It Matters in Analysis,,
JPM,2020,RI,Total Noninterest Income,RIAD4079,"61,104,000",RI p.10,,,,,,,,
JPM,2020,RI,Total Noninterest Expense,RIAD4093,"69,354,000",RI p.10,,,,,,,,
JPM,2020,RI,Provision for Credit Losses,RIADJJ33,"17,483,000",RI p.9,,,,,,,,
JPM,2020,RC,Total Assets,RCFD2170,"3,386,071,000",RC p.17,,,,,,,,
JPM,2020,RC,Total Loans (Gross),RCFD2122,"1,037,654,000",RC-C p.23,,,,,,,,
JPM,2020,RC,Allowance for Credit Losses,RCFD3123,"30,530,000",RC p.19,,,,,,,,
JPM,2020,RC,Total Deposits,RCON2200,"2,312,125,000",RC p.18,,,,,,,,
JPM,2020,RC,Total Equity Capital,RCFD3210,"270,060,000",RC p.20,,,,,,,,
BAC,2025,RI,Net Income Attributable to Bank,RIAD4340,"84,000",RI p.10,,,,,,,,
BAC,2025,RI,Net Interest Income,RIAD4074,"238,000",RI p.9,,,,,,,,
BAC,2025,RI,Total Noninterest Income,RIAD4079,"1,000",RI p.10,,,,,,,,
BAC,2025,RI,Total Noninterest Expense,RIAD4093,"125,000",RI p.10,,,,,,,,
BAC,2025,RI,Provision for Credit Losses,RIADJJ33,0,RI p.9,,,,,,,,
BAC,2025,RC,Total Assets,RCFD2170,"1,177,000",RC p.17,,,,,,,,
BAC,2025,RC,Total Loans (Gross),RCFD2122,"733,000",RC-C p.22,,,,,,,,
BAC,2025,RC,Allowance for Credit Losses,RCFD3123,"7,000",RC p.19,,,,,,,,
BAC,2025,RC,Total Deposits,RCON2200,"1,060,000",RC p.18,,,,,,,,
BAC,2025,RC,Total Equity Capital,RCFD3210,"101,000",RC p.20,,,,,,,,
BAC,2024,RI,Net Income Attributable to Bank,RIAD4340,"69,000",RI p.10,,,,,,,,
BAC,2024,RI,Net Interest Income,RIAD4074,"169,000",RI p.9,,,,,,,,
BAC,2024,RI,Total Noninterest Income,RIAD4079,"-2,000",RI p.10,,,,,,,,
BAC,2024,RI,Total Noninterest Expense,RIAD4093,"75,000",RI p.10,,,,,,,,
BAC,2024,RI,Provision for Credit Losses,RIADJJ33,"-1,000",RI p.9,,,,,,,,
BAC,2024,RC,Total Assets,RCFD2170,"1,104,000",RC p.17,,,,,,,,
BAC,2024,RC,Total Loans (Gross),RCFD2122,"682,000",RC-C p.22,,,,,,,,
BAC,2024,RC,Allowance for Credit Losses,RCFD3123,"6,000",RC p.19,,,,,,,,
BAC,2024,RC,Total Deposits,RCON2200,"1,002,000",RC p.18,,,,,,,,
BAC,2024,RC,Total Equity Capital,RCFD3210,"92,000",RC p.20,,,,,,,,
BAC,2023,RI,Net Income Attributable to Bank,RIAD4340,"63,000",RI-A p.12,,,,,,,,
BAC,2023,RI,Net Interest Income,RIAD4074,"154,000",RI p.9,,,,,,,,
BAC,2023,RI,Total Noninterest Income,RIAD4079,"-1,000",RI p.10,,,,,,,,
BAC,2023,RI,Total Noninterest Expense,RIAD4093,"71,000",RI p.10,,,,,,,,
BAC,2023,RI,Provision for Credit Losses,RIADJJ33,"-2,000",RI p.9,,,,,,,,
BAC,2023,RC,Total Assets,RCFD2170,"1,046,000",RC p.17,,,,,,,,
BAC,2023,RC,Total Loans (Gross),RCFD2122,"631,000",RC-C p.22,,,,,,,,
BAC,2023,RC,Allowance for Credit Losses,RCFD3123,"6,000",RC p.19,,,,,,,,
BAC,2023,RC,Total Deposits,RCON2200,"946,000",RC p.18,,,,,,,,
BAC,2023,RC,Total Equity Capital,RCFD3210,"87,000",RC p.20,,,,,,,,
BAC,2022,RI,Net Income Attributable to Bank,RIAD4340,"55,000",RI-A p.12,,,,,,,,
BAC,2022,RI,Net Interest Income,RIAD4074,"140,000",RI p.9,,,,,,,,
BAC,2022,RI,Total Noninterest Income,RIAD4079,"-3,000",RI p.10,,,,,,,,
BAC,2022,RI,Total Noninterest Expense,RIAD4093,"68,000",RI p.10,,,,,,,,
BAC,2022,RI,Provision for Credit Losses,RIADJJ33,"1,000",RI p.9,,,,,,,,
BAC,2022,RC,Total Assets,RCFD2170,"1,012,000",RC p.17,,,,,,,,
BAC,2022,RC,Total Loans (Gross),RCFD2122,"604,000",RC-C p.22,,,,,,,,
BAC,2022,RC,Allowance for Credit Losses,RCFD3123,"6,000",RC p.19,,,,,,,,
BAC,2022,RC,Total Deposits,RCON2200,"923,000",RC p.18,,,,,,,,
BAC,2022,RC,Total Equity Capital,RCFD3210,"84,000",RC p.20,,,,,,,,
BAC,2021,RI,Net Income Attributable to Bank,RIAD4340,"47,000",RI-A p.12,,,,,,,,
BAC,2021,RI,Net Interest Income,RIAD4074,"130,000",RI p.9,,,,,,,,
BAC,2021,RI,Total Noninterest Income,RIAD4079,"-4,000",RI p.10,,,,,,,,
BAC,2021,RI,Total Noninterest Expense,RIAD4093,"65,000",RI p.10,,,,,,,,
BAC,2021,RI,Provision for Credit Losses,RIADJJ33,"-3,000",RI p.9,,,,,,,,
BAC,2021,RC,Total Assets,RCFD2170,"978,000",RC p.17,,,,,,,,
BAC,2021,RC,Total Loans (Gross),RCFD2122,"589,000",RC-C p.22,,,,,,,,
BAC,2021,RC,Allowance for Credit Losses,RCFD3123,"5,000",RC p.19,,,,,,,,
BAC,2021,RC,Total Deposits,RCON2200,"905,000",RC p.18,,,,,,,,
BAC,2021,RC,Total Equity Capital,RCFD3210,"81,000",RC p.20,,,,,,,,
BAC,2020,RI,Net Income Attributable to Bank,RIAD4340,"39,000",RI-A p.12,,,,,,,,
BAC,2020,RI,Net Interest Income,RIAD4074,"122,000",RI p.9,,,,,,,,
BAC,2020,RI,Total Noninterest Income,RIAD4079,"-6,000",RI p.10,,,,,,,,
BAC,2020,RI,Total Noninterest Expense,RIAD4093,"63,000",RI p.10,,,,,,,,
BAC,2020,RI,Provision for Credit Losses,RIADJJ33,"2,000",RI p.9,,,,,,,,
BAC,2020,RC,Total Assets,RCFD2170,"954,000",RC p.17,,,,,,,,
BAC,2020,RC,Total Loans (Gross),RCFD2122,"575,000",RC-C p.22,,,,,,,,
BAC,2020,RC,Allowance for Credit Losses,RCFD3123,"5,000",RC p.19,,,,,,,,
BAC,2020,RC,Total Deposits,RCON2200,"889,000",RC p.18,,,,,,,,
BAC,2020,RC,Total Equity Capital,RCFD3210,"78,000",RC p.20,,,,,,,,
PNC,2025,RI,Net Income Attributable to Bank,RIAD4340,"7,234,397",RI p.9,,,,,,,,
PNC,2025,RI,Net Interest Income,RIAD4074,"15,135,750",RI p.8,,,,,,,,
PNC,2025,RI,Total Noninterest Income,RIAD4079,"7,780,792",RI p.9,,,,,,,,
PNC,2025,RI,Total Noninterest Expense,RIAD4093,"13,249,878",RI p.9,,,,,,,,
PNC,2025,RI,Provision for Credit Losses,RIADJJ33,"777,911",RI p.8,,,,,,,,
PNC,2025,RC,Total Assets,RCFD2170,"562,109,930",RC p.17,,,,,,,,
PNC,2025,RC,Total Loans (Gross),RCFD2122,"325,102,041",RC-C p.23,,,,,,,,
PNC,2025,RC,Allowance for Credit Losses,RCFD3123,"5,431,785",RC p.19,,,,,,,,
PNC,2025,RC,Total Deposits,RCON2200,"441,153,496",RC p.18,,,,,,,,
