Raw Dataset Extracted from Call Reports,,,,,,,,FFIEC Call Report Reference Guide,,,,,,
Bank,Year,Schedule,Line Item,Code,Value (000s),Source Page,,Category,Code / Term,Full Name,What It Represents,Why It Matters in Analysis,,
Community Trust KY,2023,RC,Total Assets,RCON2170,"5,742,390",RC p.4,,,,,,,,
Community Trust KY,2023,RC,Total Loans (Gross),RCON2122,"3,884,772",RC-C p.16,,,,,,,,
Community Trust KY,2023,RC,Allowance for Credit Losses,RCON3123,"50,764",RC p.4,,,,,,,,
Community Trust KY,2023,RC,Total Deposits,RCON2200,"4,989,551",RC-E p.20,,,,,,,,
Community Trust KY,2023,RC,Total Equity Capital,RCON3210,"570,384",RC p.5,,,,,,,,
Community Trust KY,2022,RI,Net Income Attributable to Bank,RIAD4340,"84,215",RI p.9,,,,,,,,
Community Trust KY,2022,RI,Net Interest Income,RIAD4074,"182,307",RI p.8,,,,,,,,
Community Trust KY,2022,RI,Total Noninterest Income,RIAD4079,"40,985",RI p.9,,,,,,,,
Community Trust KY,2022,RI,Total Noninterest Expense,RIAD4093,"116,770",RI p.9,,,,,,,,
Community Trust KY,2022,RI,Provision for Credit Losses,RIADJJ33,"5,214",RI p.8,,,,,,,,
Community Trust KY,2022,RC,Total Assets,RCON2170,"5,431,278",RC p.4,,,,,,,,
Community Trust KY,2022,RC,Total Loans (Gross),RCON2122,"3,650,842",RC-C p.16,,,,,,,,
Community Trust KY,2022,RC,Allowance for Credit Losses,RCON3123,"47,911",RC p.4,,,,,,,,
Community Trust KY,2022,RC,Total Deposits,RCON2200,"4,723,615",RC-E p.20,,,,,,,,
Community Trust KY,2022,RC,Total Equity Capital,RCON3210,"541,603",RC p.5,,,,,,,,
Community Trust KY,2021,RI,Net Income Attributable to Bank,RIAD4340,"74,802",RI p.9,,,,,,,,
Community Trust KY,2021,RI,Net Interest Income,RIAD4074,"170,944",RI p.8,,,,,,,,
Community Trust KY,2021,RI,Total Noninterest Income,RIAD4079,"39,517",RI p.9,,,,,,,,
Community Trust KY,2021,RI,Total Noninterest Expense,RIAD4093,"112,084",RI p.9,,,,,,,,
Community Trust KY,2021,RI,Provision for Credit Losses,RIADJJ33,"-2,186",RI p.8,,,,,,,,
Community Trust KY,2021,RC,Total Assets,RCON2170,"5,201,643",RC p.4,,,,,,,,
Community Trust KY,2021,RC,Total Loans (Gross),RCON2122,"3,492,715",RC-C p.16,,,,,,,,
Community Trust KY,2021,RC,Allowance for Credit Losses,RCON3123,"46,122",RC p.4,,,,,,,,
Community Trust KY,2021,RC,Total Deposits,RCON2200,"4,524,118",RC-E p.20,,,,,,,,
Community Trust KY,2021,RC,Total Equity Capital,RCON3210,"517,486",RC p.5,,,,,,,,
Community Trust KY,2020,RI,Net Income Attributable to Bank,RIAD4340,"60,471",RI p.9,,,,,,,,
Community Trust KY,2020,RI,Net Interest Income,RIAD4074,"162,308",RI p.8,,,,,,,,
Community Trust KY,2020,RI,Total Noninterest Income,RIAD4079,"37,904",RI p.9,,,,,,,,
Community Trust KY,2020,RI,Total Noninterest Expense,RIAD4093,"108,556",RI p.9,,,,,,,,
Community Trust KY,2020,RI,Provision for Credit Losses,RIADJJ33,"9,872",RI p.8,,,,,,,,
Community Trust KY,2020,RC,Total Assets,RCON2170,"4,986,734",RC p.4,,,,,,,,
Community Trust KY,2020,RC,Total Loans (Gross),RCON2122,"3,347,980",RC-C p.16,,,,,,,,
Community Trust KY,2020,RC,Allowance for Credit Losses,RCON3123,"45,213",RC p.4,,,,,,,,
Community Trust KY,2020,RC,Total Deposits,RCON2200,"4,321,569",RC-E p.20,,,,,,,,
Community Trust KY,2020,RC,Total Equity Capital,RCON3210,"493,772",RC p.5,,,,,,,,
Rockland Trust,2025,RI,Net Income Attributable to Bank,RIAD4340,"197,571",RI p.9,,,,,,,,
Rockland Trust,2025,RI,Net Interest Income,RIAD4074,"575,302",RI p.8,,,,,,,,
Rockland Trust,2025,RI,Total Noninterest Income,RIAD4079,"120,908",RI p.9,,,,,,,,
Rockland Trust,2025,RI,Total Noninterest Expense,RIAD4093,"405,586",RI p.9,,,,,,,,
Rockland Trust,2025,RI,Provision for Credit Losses,RIADJJ33,"36,150",RI p.8,,,,,,,,
Rockland Trust,2025,RC,Total Assets,RCON2170,"20,640,447",RC p.4,,,,,,,,
Rockland Trust,2025,RC,Total Loans (Gross),RCON2122,"16,701,337",RC-C p.16,,,,,,,,
Rockland Trust,2025,RC,Allowance for Credit Losses,RCON3123,"213,064",RC p.4,,,,,,,,
Rockland Trust,2025,RC,Total Deposits,RCON2200,"17,864,287",RC-E p.20,,,,,,,,
Rockland Trust,2025,RC,Total Equity Capital,RCON3210,"2,089,063",RC p.5,,,,,,,,
Rockland Trust,2024,RI,Net Income Attributable to Bank,RIAD4340,"178,520",RI p.9,,,,,,,,
Rockland Trust,2024,RI,Net Interest Income,RIAD4074,"553,481",RI p.8,,,,,,,,
Rockland Trust,2024,RI,Total Noninterest Income,RIAD4079,"118,244",RI p.9,,,,,,,,
Rockland Trust,2024,RI,Total Noninterest Expense,RIAD4093,"394,872",RI p.9,,,,,,,,
Rockland Trust,2024,RI,Provision for Credit Losses,RIADJJ33,"29,640",RI p.8,,,,,,,,
Rockland Trust,2024,RC,Total Assets,RCON2170,"19,988,312",RC p.4,,,,,,,,
Rockland Trust,2024,RC,Total Loans (Gross),RCON2122,"16,184,905",RC-C p.16,,,,,,,,
Rockland Trust,2024,RC,Allowance for Credit Losses,RCON3123,"198,742",RC p.4,,,,,,,,
Rockland Trust,2024,RC,Total Deposits,RCON2200,"17,302,881",RC-E p.20,,,,,,,,
Rockland Trust,2024,RC,Total Equity Capital,RCON3210,"2,001,488",RC p.5,,,,,,,,
Rockland Trust,2023,RI,Net Income Attributable to Bank,RIAD4340,"246,572",RI p.9,,,,,,,,
Rockland Trust,2023,RI,Net Interest Income,RIAD4074,"621,040",RI p.9,,,,,,,,
Rockland Trust,2023,RI,Total Noninterest Income,RIAD4079,"118,373",RI p.9,,,,,,,,
Rockland Trust,2023,RI,Total Noninterest Expense,RIAD4093,"392,154",RI p.9,,,,,,,,
Rockland Trust,2023,RI,Provision for Credit Losses,RIADJJ33*,"23,450",RI p.9,,,,,,,,
Rockland Trust,2023,RC,Total Assets,RCON2170,"19,352,632",RC p.17,,,,,,,,
Rockland Trust,2023,RC,Total Loans (Gross),RCON2122,"14,284,438",RC-C p.22,,,,,,,,
Rockland Trust,2023,RC,Allowance for Credit Losses,RCON3123,"142,222",RC p.17,,,,,,,,
Rockland Trust,2023,RC,Total Deposits,RCON2200,"14,979,650",RC p.17,,,,,,,,
Rockland Trust,2023,RC,Total Equity Capital,RCON3210,"2,920,804",RC p.18,,,,,,,,
Rockland Trust,2022,RI,Net Income Attributable to Bank,RIAD4340,"268,324",RI-A p.12,,,,,,,,
Rockland Trust,2022,RI,Net Interest Income,RIAD4074,"553,959",RI p.9,,,,,,,,
Rockland Trust,2022,RI,Total Noninterest Income,RIAD4079,"102,074",RI p.10,,,,,,,,
Rockland Trust,2022,RI,Total Noninterest Expense,RIAD4093,"404,241",RI p.10,,,,,,,,
Rockland Trust,2022,RI,Provision for Credit Losses,RIAD4230,"23,530",RI p.9,,,,,,,,
Rockland Trust,2022,RC,Total Assets,RCON2170,"18,535,579",RC p.17,,,,,,,,
Rockland Trust,2022,RC,Total Loans (Gross),RCON2122,"13,747,919",RC-C p.22,,,,,,,,
Rockland Trust,2022,RC,Allowance for Credit Losses,RCON3123,"146,275",RC p.17,,,,,,,,
Rockland Trust,2022,RC,Total Deposits,RCON2200,"15,356,636",RC p.17,,,,,,,,
Rockland Trust,2022,RC,Total Equity Capital,RCON3210,"2,848,513",RI-A p.12,,,,,,,,
Rockland Trust,2021,RI,Net Income Attributable to Bank,RIAD4340,"189,884",RI-A p.12,,,,,,,,
Rockland Trust,2021,RI,Net Interest Income,RIAD4074,"500,528",RI p.9,,,,,,,,
Rockland Trust,2021,RI,Total Noninterest Income,RIAD4079,"115,946",RI p.10,,,,,,,,
Rockland Trust,2021,RI,Total Noninterest Expense,RIAD4093,"395,734",RI p.10,,,,,,,,
Rockland Trust,2021,RI,Provision for Credit Losses,RIAD4230,"-35,955",RI p.9,,,,,,,,
Rockland Trust,2021,RC,Total Assets,RCON2170,"18,039,393",RC p.17,,,,,,,,
Rockland Trust,2021,RC,Total Loans (Gross),RCON2122,"12,602,765",RC-C p.22,,,,,,,,
Rockland Trust,2021,RC,Allowance for Credit Losses,RCON3123,"168,196",RC p.17,,,,,,,,
Rockland Trust,2021,RC,Total Deposits,RCON2200,"15,212,141",RC p.17,,,,,,,,
Rockland Trust,2021,RC,Total Equity Capital,RCON3210,"2,685,880",RI-A p.12,,,,,,,,
Rockland Trust,2020,RI,Net Income Attributable to Bank,RIAD4340,"129,857",RI-A p.12,,,,,,,,
Rockland Trust,2020,RI,Net Interest Income,RIAD4074,"477,880",RI p.9,,,,,,,,
Rockland Trust,2020,RI,Total Noninterest Income,RIAD4079,"112,642",RI p.10,,,,,,,,
Rockland Trust,2020,RI,Total Noninterest Expense,RIAD4093,"378,436",RI p.10,,,,,,,,
Rockland Trust,2020,RI,Provision for Credit Losses,RIAD4230,"106,078",RI p.9,,,,,,,,
Rockland Trust,2020,RC,Total Assets,RCON2170,"17,003,476",RC p.17,,,,,,,,
Rockland Trust,2020,RC,Total Loans (Gross),RCON2122,"12,368,770",RC-C p.22,,,,,,,,
Rockland Trust,2020,RC,Allowance for Credit Losses,RCON3123,"191,769",RC p.17,,,,,,,,
Rockland Trust,2020,RC,Total Deposits,RCON2200,"14,231,087",RC p.17,,,,,,,,
Rockland Trust,2020,RC,Total Equity Capital,RCON3210,"2,470,655",RI-A p.12,,,,,,,,
